ADC1,ADC2,ADC3,ADC4,ADC5,ADC6,ADC7,ADC8,Counter,Timestamp
528906,498,538,549,568,530,559,550,373,2025-04-15 14:03:50.665
528907,503,537,551,561,532,556,555,374,2025-04-15 14:03:50.669
528908,503,544,556,571,539,561,561,375,2025-04-15 14:03:50.673
528909,498,548,557,576,538,567,559,376,2025-04-15 14:03:50.677
528910,499,546,556,572,539,564,561,377,2025-04-15 14:03:50.681
528911,501,538,551,566,533,557,555,378,2025-04-15 14:03:50.685
528912,497,538,549,566,529,556,554,379,2025-04-15 14:03:50.689
528913,502,549,558,576,538,566,560,380,2025-04-15 14:03:50.693
528914,499,546,559,576,539,566,562,381,2025-04-15 14:03:50.697
528915,499,547,557,575,538,564,559,382,2025-04-15 14:03:50.701
528916,503,536,548,564,531,556,553,383,2025-04-15 14:03:50.705
528917,497,535,548,562,530,553,553,384,2025-04-15 14:03:50.709
528918,502,545,558,573,539,564,563,385,2025-04-15 14:03:50.713
528919,501,548,558,577,543,567,567,386,2025-04-15 14:03:50.717
528920,499,544,556,571,539,562,560,387,2025-04-15 14:03:50.721
528921,499,541,549,567,539,557,555,388,2025-04-15 14:03:50.725
528922,503,538,552,567,533,559,557,389,2025-04-15 14:03:50.729
528923,506,547,559,576,539,565,562,390,2025-04-15 14:03:50.733
528924,502,552,560,579,540,569,561,391,2025-04-15 14:03:50.737
528925,501,543,561,572,540,563,562,392,2025-04-15 14:03:50.741
528926,501,538,550,566,532,556,553,393,2025-04-15 14:03:50.746
528927,499,539,548,566,531,557,553,394,2025-04-15 14:03:50.750
528928,502,544,556,573,541,563,562,395,2025-04-15 14:03:50.754
528929,499,550,551,578,539,568,560,396,2025-04-15 14:03:50.758
528930,498,546,555,572,536,563,555,397,2025-04-15 14:03:50.762
528931,496,539,546,567,529,558,552,398,2025-04-15 14:03:50.766
528932,500,536,549,565,530,555,551,399,2025-04-15 14:03:50.770
528933,501,548,555,576,537,566,560,400,2025-04-15 14:03:50.774
528934,493,549,557,576,536,567,557,401,2025-04-15 14:03:50.778
528935,500,545,557,572,538,562,561,402,2025-04-15 14:03:50.782
528936,497,535,539,563,531,554,554,403,2025-04-15 14:03:50.786
528937,497,540,547,567,529,558,546,404,2025-04-15 14:03:50.790
528938,501,548,556,574,538,566,560,405,2025-04-15 14:03:50.794
528939,497,547,558,576,538,566,562,406,2025-04-15 14:03:50.798
528940,497,544,553,572,535,562,558,407,2025-04-15 14:03:50.802
528941,496,538,546,567,528,556,547,408,2025-04-15 14:03:50.806
528942,500,537,549,568,534,555,554,409,2025-04-15 14:03:50.810
528943,499,552,555,577,536,566,557,410,2025-04-15 14:03:50.814
528944,500,548,560,574,542,566,564,411,2025-04-15 14:03:50.818
528945,499,545,555,572,536,562,556,412,2025-04-15 14:03:50.822
528946,497,534,546,565,529,554,549,413,2025-04-15 14:03:50.826
528947,500,538,549,565,531,556,553,414,2025-04-15 14:03:50.830
528948,502,545,557,575,541,565,563,415,2025-04-15 14:03:50.834
528949,499,546,560,574,543,565,566,416,2025-04-15 14:03:50.838
528950,496,542,556,569,537,562,557,417,2025-04-15 14:03:50.842
528951,501,537,548,566,530,557,552,418,2025-04-15 14:03:50.846
528952,501,540,549,569,531,559,552,419,2025-04-15 14:03:50.850
528953,502,546,559,575,543,567,562,420,2025-04-15 14:03:50.854
528954,501,545,558,574,541,565,564,421,2025-04-15 14:03:50.858
528955,501,544,555,572,537,562,559,422,2025-04-15 14:03:50.862
528956,499,539,547,567,529,557,549,423,2025-04-15 14:03:50.866
528957,501,540,551,567,533,558,554,424,2025-04-15 14:03:50.870
528958,502,551,559,579,539,570,560,425,2025-04-15 14:03:50.874
528959,497,549,558,578,539,568,559,426,2025-04-15 14:03:50.878
528960,502,542,557,573,531,562,562,427,2025-04-15 14:03:50.882
528961,501,536,547,564,531,555,553,428,2025-04-15 14:03:50.886
528962,503,540,555,567,536,558,558,429,2025-04-15 14:03:50.890
528963,500,548,556,578,538,568,557,430,2025-04-15 14:03:50.894
528964,497,548,557,580,539,568,559,431,2025-04-15 14:03:50.898
528965,502,543,556,569,539,563,559,432,2025-04-15 14:03:50.902
528966,500,537,549,565,531,554,553,433,2025-04-15 14:03:50.906
528967,503,542,553,570,535,560,553,434,2025-04-15 14:03:50.910
528968,505,545,562,577,543,568,567,435,2025-04-15 14:03:50.915
528969,500,544,560,574,543,566,566,436,2025-04-15 14:03:50.919
528970,500,547,555,576,537,565,556,437,2025-04-15 14:03:50.923
528971,498,540,548,568,529,559,550,438,2025-04-15 14:03:50.927
528972,500,543,554,572,535,563,554,439,2025-04-15 14:03:50.931
528973,503,550,556,579,539,569,560,440,2025-04-15 14:03:50.935
528974,503,551,563,578,543,569,566,441,2025-04-15 14:03:50.939
528975,504,543,558,573,541,561,563,442,2025-04-15 14:03:50.943
528976,501,540,548,568,530,556,551,443,2025-04-15 14:03:50.947
528977,503,546,552,571,535,564,555,444,2025-04-15 14:03:50.951
528978,503,550,561,578,543,569,566,445,2025-04-15 14:03:50.955
528979,498,546,559,576,540,565,563,446,2025-04-15 14:03:50.959
528980,505,540,556,571,536,561,560,447,2025-04-15 14:03:50.963
528981,511,536,549,565,532,555,554,448,2025-04-15 14:03:50.967
528982,502,544,551,570,534,561,555,449,2025-04-15 14:03:50.971
528983,503,550,559,579,540,570,560,450,2025-04-15 14:03:50.975
528984,499,552,558,580,541,571,560,451,2025-04-15 14:03:50.979
528985,502,545,557,571,540,563,562,452,2025-04-15 14:03:50.983
528986,499,541,548,568,526,560,550,453,2025-04-15 14:03:50.987
528987,503,545,556,572,539,563,561,454,2025-04-15 14:03:50.991
528988,505,551,567,579,543,568,564,455,2025-04-15 14:03:50.995
528989,500,550,561,578,540,569,562,456,2025-04-15 14:03:50.999
528990,502,545,555,570,538,561,560,457,2025-04-15 14:03:51.003
528991,497,537,548,565,531,555,550,458,2025-04-15 14:03:51.007
528992,506,545,553,570,534,562,556,459,2025-04-15 14:03:51.011
528993,503,552,558,580,539,569,560,460,2025-04-15 14:03:51.015
528994,499,553,557,578,539,568,560,461,2025-04-15 14:03:51.019
528995,498,544,549,570,535,564,553,462,2025-04-15 14:03:51.023
528996,501,538,552,565,532,556,555,463,2025-04-15 14:03:51.027
528997,500,552,553,573,536,563,554,464,2025-04-15 14:03:51.031
528998,504,549,562,576,542,567,566,465,2025-04-15 14:03:51.035
528999,496,550,557,577,538,567,559,466,2025-04-15 14:03:51.039
529000,502,542,558,569,536,559,559,467,2025-04-15 14:03:51.043
529001,497,539,546,567,529,558,549,468,2025-04-15 14:03:51.047
529002,502,543,556,571,538,560,560,469,2025-04-15 14:03:51.051
529003,503,547,557,575,540,567,560,470,2025-04-15 14:03:51.055
529004,498,549,559,578,539,567,559,471,2025-04-15 14:03:51.059
529005,500,541,554,568,535,558,557,472,2025-04-15 14:03:51.063
529006,501,537,548,565,530,555,553,473,2025-04-15 14:03:51.067
529007,501,547,553,572,536,564,553,474,2025-04-15 14:03:51.071
529008,504,549,562,576,543,567,566,475,2025-04-15 14:03:51.075
529009,499,546,557,577,538,566,560,476,2025-04-15 14:03:51.079
529010,500,540,551,567,534,558,552,477,2025-04-15 14:03:51.083
529011,500,538,549,565,531,555,554,478,2025-04-15 14:03:51.088
529012,501,547,554,574,536,564,555,479,2025-04-15 14:03:51.092
529013,504,548,559,578,542,569,563,480,2025-04-15 14:03:51.096
529014,497,549,557,578,538,567,558,481,2025-04-15 14:03:51.100
529015,499,544,550,570,532,561,552,482,2025-04-15 14:03:51.104
529016,497,538,545,564,527,558,550,483,2025-04-15 14:03:51.108
529017,501,542,555,571,537,561,560,484,2025-04-15 14:03:51.112
529018,499,557,558,579,540,568,559,485,2025-04-15 14:03:51.116
529019,499,541,558,574,540,564,562,486,2025-04-15 14:03:51.120
529020,496,540,551,567,533,559,557,487,2025-04-15 14:03:51.124
529021,502,537,550,566,532,556,554,488,2025-04-15 14:03:51.128
529022,502,544,558,571,539,561,561,489,2025-04-15 14:03:51.132
529023,490,552,559,580,541,570,561,490,2025-04-15 14:03:51.136
529024,504,547,559,575,544,563,563,491,2025-04-15 14:03:51.140
529025,501,541,553,571,535,558,556,492,2025-04-15 14:03:51.144
529026,502,538,551,566,533,558,556,493,2025-04-15 14:03:51.148
529027,503,549,557,578,539,567,560,494,2025-04-15 14:03:51.152
529028,503,549,566,578,543,568,565,495,2025-04-15 14:03:51.156
529029,501,547,559,576,541,567,563,496,2025-04-15 14:03:51.160
529030,498,533,551,570,534,561,553,497,2025-04-15 14:03:51.164
529031,501,540,549,567,532,558,555,498,2025-04-15 14:03:51.168
529032,504,551,558,580,540,567,563,499,2025-04-15 14:03:51.172
529033,506,553,563,581,545,571,565,500,2025-04-15 14:03:51.176
529034,503,548,560,576,540,567,564,501,2025-04-15 14:03:51.181
529035,499,542,548,570,533,559,552,502,2025-04-15 14:03:51.184
529036,502,543,549,571,532,561,552,503,2025-04-15 14:03:51.188
529037,505,549,559,577,543,567,562,504,2025-04-15 14:03:51.192
529038,504,551,564,579,545,568,568,505,2025-04-15 14:03:51.196
529039,497,550,557,577,538,567,558,506,2025-04-15 14:03:51.200
529040,503,541,553,570,535,560,553,507,2025-04-15 14:03:51.204
529041,501,542,551,569,533,560,552,508,2025-04-15 14:03:51.208
529042,506,550,557,579,540,569,560,509,2025-04-15 14:03:51.212
529043,502,556,560,575,543,571,561,510,2025-04-15 14:03:51.216
529044,506,552,558,577,539,569,557,511,2025-04-15 14:03:51.220
529045,503,543,554,571,535,564,554,512,2025-04-15 14:03:51.224
529046,504,544,549,570,533,562,550,513,2025-04-15 14:03:51.228
529047,508,549,561,577,541,566,566,514,2025-04-15 14:03:51.232
529048,504,552,564,576,545,569,566,515,2025-04-15 14:03:51.236
529049,504,548,562,577,540,564,564,516,2025-04-15 14:03:51.240
529050,506,542,556,570,542,559,559,517,2025-04-15 14:03:51.244
529051,503,543,552,571,534,562,555,518,2025-04-15 14:03:51.248
529052,507,550,561,578,541,568,562,519,2025-04-15 14:03:51.252
529053,507,553,565,580,544,569,567,520,2025-04-15 14:03:51.256
529054,504,548,560,573,543,565,564,521,2025-04-15 14:03:51.261
529055,501,544,548,569,533,560,552,522,2025-04-15 14:03:51.265
529056,501,541,549,570,531,560,550,523,2025-04-15 14:03:51.269
529057,505,552,559,580,541,577,560,524,2025-04-15 14:03:51.273
529058,500,552,561,580,543,570,564,525,2025-04-15 14:03:51.277
529059,503,549,559,576,538,565,563,526,2025-04-15 14:03:51.281
529060,505,542,554,567,536,558,558,527,2025-04-15 14:03:51.285
529061,505,542,554,571,534,562,556,528,2025-04-15 14:03:51.289
529062,508,550,562,576,543,567,566,529,2025-04-15 14:03:51.293
529063,500,554,561,581,544,569,563,530,2025-04-15 14:03:51.297
529064,504,547,559,575,539,566,561,531,2025-04-15 14:03:51.301
529065,504,540,552,566,528,558,557,532,2025-04-15 14:03:51.305
529066,502,544,551,570,535,561,556,533,2025-04-15 14:03:51.309
529067,507,550,562,577,544,566,568,534,2025-04-15 14:03:51.313
529068,502,549,562,577,544,573,568,535,2025-04-15 14:03:51.317
529069,502,548,557,577,536,565,560,536,2025-04-15 14:03:51.321
529070,502,540,551,569,534,559,556,537,2025-04-15 14:03:51.325
529071,503,540,553,566,535,559,558,538,2025-04-15 14:03:51.329
529072,506,548,561,576,542,565,560,539,2025-04-15 14:03:51.333
529073,500,552,560,578,540,570,560,540,2025-04-15 14:03:51.337
529074,503,545,557,574,541,565,562,541,2025-04-15 14:03:51.341
529075,498,539,547,566,529,557,548,542,2025-04-15 14:03:51.345
529076,503,542,553,570,533,561,554,543,2025-04-15 14:03:51.349
529077,504,549,561,574,542,566,565,544,2025-04-15 14:03:51.353
529078,499,548,559,576,540,565,564,545,2025-04-15 14:03:51.357
529079,501,546,557,575,531,563,560,546,2025-04-15 14:03:51.361
529080,498,536,549,565,532,555,555,547,2025-04-15 14:03:51.365
529081,502,539,554,566,534,557,556,548,2025-04-15 14:03:51.369
529082,501,549,557,578,538,567,560,549,2025-04-15 14:03:51.373
529083,498,547,560,573,540,566,565,550,2025-04-15 14:03:51.377
529084,497,544,551,572,534,563,554,551,2025-04-15 14:03:51.381
529085,498,537,546,565,528,555,548,552,2025-04-15 14:03:51.385
529086,500,539,554,567,531,558,555,553,2025-04-15 14:03:51.389
529087,500,546,556,576,537,567,560,554,2025-04-15 14:03:51.393
529088,498,546,558,574,542,564,563,555,2025-04-15 14:03:51.397
529089,496,545,553,571,533,561,553,556,2025-04-15 14:03:51.401
529090,499,539,545,565,528,556,547,557,2025-04-15 14:03:51.405
529091,500,541,551,571,533,560,551,558,2025-04-15 14:03:51.409
529092,501,546,560,574,542,565,564,559,2025-04-15 14:03:51.413
529093,499,545,557,574,542,565,565,560,2025-04-15 14:03:51.417
529094,500,546,556,571,538,563,556,561,2025-04-15 14:03:51.421
529095,501,538,550,567,533,556,555,562,2025-04-15 14:03:51.425
529096,505,542,556,569,535,560,555,563,2025-04-15 14:03:51.429
529097,502,551,560,579,539,569,560,564,2025-04-15 14:03:51.433
529098,501,546,559,572,542,565,564,565,2025-04-15 14:03:51.438
529099,500,544,555,571,536,562,557,566,2025-04-15 14:03:51.442
529100,495,536,543,566,527,556,547,567,2025-04-15 14:03:51.446
529101,498,540,551,567,533,555,555,568,2025-04-15 14:03:51.450
529102,500,548,559,576,540,565,564,569,2025-04-15 14:03:51.454
529103,496,546,558,576,535,565,560,570,2025-04-15 14:03:51.458
529104,499,547,552,573,536,564,555,571,2025-04-15 14:03:51.462
529105,498,538,548,567,530,558,549,572,2025-04-15 14:03:51.466
529106,502,542,552,570,535,561,555,573,2025-04-15 14:03:51.470
529107,499,548,556,577,538,567,561,574,2025-04-15 14:03:51.474
529108,497,547,556,576,537,565,560,575,2025-04-15 14:03:51.478
529109,498,546,552,572,534,563,554,576,2025-04-15 14:03:51.482
529110,500,533,546,561,531,552,551,577,2025-04-15 14:03:51.486
529111,499,540,554,569,536,559,559,578,2025-04-15 14:03:51.490
529112,498,550,557,578,538,568,558,579,2025-04-15 14:03:51.494
529113,500,547,560,573,542,564,563,580,2025-04-15 14:03:51.498
529114,501,542,556,570,538,559,560,581,2025-04-15 14:03:51.502
529115,498,539,548,566,531,557,552,582,2025-04-15 14:03:51.506
529116,504,543,556,570,538,561,560,583,2025-04-15 14:03:51.510
529117,502,552,559,579,541,570,563,584,2025-04-15 14:03:51.514
529118,498,548,556,579,539,566,562,585,2025-04-15 14:03:51.518
529119,498,544,549,571,533,562,552,586,2025-04-15 14:03:51.522
529120,501,537,549,563,531,553,554,587,2025-04-15 14:03:51.526
529121,501,544,552,570,535,562,555,588,2025-04-15 14:03:51.530
529122,503,547,561,576,543,564,564,589,2025-04-15 14:03:51.534
529123,501,547,560,574,542,565,565,590,2025-04-15 14:03:51.538
529124,500,543,552,570,534,560,553,591,2025-04-15 14:03:51.542
529125,498,538,548,567,530,558,551,592,2025-04-15 14:03:51.546
529126,503,543,555,568,537,560,560,593,2025-04-15 14:03:51.550
529127,501,551,558,580,540,570,560,594,2025-04-15 14:03:51.554
529128,499,549,556,576,537,566,560,595,2025-04-15 14:03:51.558
529129,501,544,550,571,534,562,553,596,2025-04-15 14:03:51.562
529130,499,539,546,567,529,558,550,597,2025-04-15 14:03:51.566
529131,505,544,557,573,537,563,561,598,2025-04-15 14:03:51.570
529132,503,552,560,578,543,567,561,599,2025-04-15 14:03:51.574
529133,498,551,558,580,539,570,560,600,2025-04-15 14:03:51.578
529134,504,540,554,568,534,559,558,601,2025-04-15 14:03:51.582
529135,502,538,551,564,533,555,555,602,2025-04-15 14:03:51.586
529136,502,546,554,573,536,563,556,603,2025-04-15 14:03:51.590
529137,500,551,560,578,539,571,560,604,2025-04-15 14:03:51.594
529138,502,546,560,574,544,563,564,605,2025-04-15 14:03:51.598
529139,499,541,551,569,532,558,554,606,2025-04-15 14:03:51.602
529140,499,535,547,563,530,552,553,607,2025-04-15 14:03:51.606
529141,501,543,554,572,537,562,558,608,2025-04-15 14:03:51.610
529142,501,552,560,578,542,568,561,609,2025-04-15 14:03:51.615
529143,501,547,560,573,543,564,564,610,2025-04-15 14:03:51.619
529144,498,541,550,569,533,560,554,611,2025-04-15 14:03:51.623
529145,499,540,548,567,530,557,551,612,2025-04-15 14:03:51.627
529146,504,545,556,572,538,562,560,613,2025-04-15 14:03:51.631
529147,501,548,560,577,543,567,563,614,2025-04-15 14:03:51.635
529148,503,548,559,576,540,568,561,615,2025-04-15 14:03:51.639
529149,500,543,553,571,533,561,552,616,2025-04-15 14:03:51.643
529150,502,537,550,565,533,555,554,617,2025-04-15 14:03:51.647
529151,503,549,555,576,536,564,556,618,2025-04-15 14:03:51.651
529152,503,552,567,581,542,571,564,619,2025-04-15 14:03:51.655
529153,498,549,557,578,539,567,560,620,2025-04-15 14:03:51.659
529154,502,541,555,571,536,560,557,621,2025-04-15 14:03:51.663
529155,502,542,550,569,531,559,553,622,2025-04-15 14:03:51.667
529156,504,544,555,573,538,563,559,623,2025-04-15 14:03:51.671
529157,498,550,560,576,540,567,563,624,2025-04-15 14:03:51.675
529158,498,550,557,573,538,567,560,625,2025-04-15 14:03:51.679
529159,501,540,552,568,531,559,553,626,2025-04-15 14:03:51.683
529160,502,540,545,568,533,558,554,627,2025-04-15 14:03:51.687
529161,502,549,556,576,536,567,556,628,2025-04-15 14:03:51.691
529162,504,549,563,576,543,568,567,629,2025-04-15 14:03:51.695
529163,502,549,558,578,538,567,561,630,2025-04-15 14:03:51.699
529164,499,537,550,572,533,557,554,631,2025-04-15 14:03:51.703
529165,502,537,550,566,534,557,554,632,2025-04-15 14:03:51.707
529166,505,545,555,574,539,565,559,633,2025-04-15 14:03:51.711
529167,504,552,563,579,544,567,568,634,2025-04-15 14:03:51.715
529168,501,546,559,573,541,564,565,635,2025-04-15 14:03:51.719
529169,499,539,551,567,532,559,553,636,2025-04-15 14:03:51.723
529170,500,540,549,568,531,559,552,637,2025-04-15 14:03:51.727
529171,503,544,555,572,538,563,560,638,2025-04-15 14:03:51.731
529172,501,548,560,574,536,565,565,639,2025-04-15 14:03:51.735
529173,495,547,553,576,535,564,555,640,2025-04-15 14:03:51.739
529174,501,541,550,568,532,558,554,641,2025-04-15 14:03:51.743
529175,496,538,546,564,529,557,549,642,2025-04-15 14:03:51.747
529176,500,549,557,576,536,566,557,643,2025-04-15 14:03:51.751
529177,500,550,560,578,539,567,562,644,2025-04-15 14:03:51.755
529178,499,546,556,573,534,564,561,645,2025-04-15 14:03:51.759
529179,501,536,550,565,533,554,558,646,2025-04-15 14:03:51.763
529180,502,539,550,567,531,556,551,647,2025-04-15 14:03:51.767
529181,502,550,557,578,540,567,560,648,2025-04-15 14:03:51.771
529182,499,551,559,580,541,570,560,649,2025-04-15 14:03:51.775
529183,499,550,558,576,538,567,560,650,2025-04-15 14:03:51.779
529184,500,540,549,568,531,555,554,651,2025-04-15 14:03:51.783
529185,500,536,548,563,532,555,553,652,2025-04-15 14:03:51.787
529186,501,547,557,576,538,564,562,653,2025-04-15 14:03:51.792
529187,501,549,561,576,539,565,564,654,2025-04-15 14:03:51.796
529188,497,547,554,573,537,565,557,655,2025-04-15 14:03:51.800
529189,499,542,549,569,532,559,551,656,2025-04-15 14:03:51.804
529190,497,539,548,568,528,557,550,657,2025-04-15 14:03:51.808
529191,501,544,556,573,540,564,562,658,2025-04-15 14:03:51.812
529192,500,547,560,574,543,566,565,659,2025-04-15 14:03:51.816
529193,498,547,554,575,537,567,559,660,2025-04-15 14:03:51.820
529194,500,539,550,567,532,557,554,661,2025-04-15 14:03:51.824
529195,499,540,551,565,532,556,554,662,2025-04-15 14:03:51.828
529196,504,546,559,574,542,564,563,663,2025-04-15 14:03:51.832
529197,494,551,557,577,539,567,558,664,2025-04-15 14:03:51.836
529198,498,548,557,576,535,565,556,665,2025-04-15 14:03:51.840
529199,500,536,549,565,532,554,555,666,2025-04-15 14:03:51.844
529200,499,538,550,566,532,556,551,667,2025-04-15 14:03:51.848
529201,502,545,557,573,539,564,561,668,2025-04-15 14:03:51.852
529202,502,546,557,575,542,564,563,669,2025-04-15 14:03:51.856
529203,495,545,552,570,534,562,554,670,2025-04-15 14:03:51.860
529204,495,536,542,565,527,556,547,671,2025-04-15 14:03:51.864
529205,500,535,547,564,531,555,553,672,2025-04-15 14:03:51.868
529206,498,547,555,573,537,563,557,673,2025-04-15 14:03:51.872
529207,495,545,558,573,540,563,562,674,2025-04-15 14:03:51.876
529208,498,543,555,569,536,558,560,675,2025-04-15 14:03:51.880
529209,499,536,546,563,529,553,553,676,2025-04-15 14:03:51.884
529210,497,528,547,563,529,553,550,677,2025-04-15 14:03:51.888
529211,498,544,556,571,538,562,560,678,2025-04-15 14:03:51.892
529212,498,545,558,573,540,564,562,679,2025-04-15 14:03:51.896
529213,497,544,550,571,533,562,555,680,2025-04-15 14:03:51.900
529214,506,535,548,561,530,553,553,681,2025-04-15 14:03:51.904
529215,498,541,554,569,531,559,551,682,2025-04-15 14:03:51.908
529216,499,547,555,573,539,564,560,683,2025-04-15 14:03:51.912
529217,498,544,556,572,539,563,561,684,2025-04-15 14:03:51.916
529218,496,544,550,571,533,562,553,685,2025-04-15 14:03:51.920
529219,496,531,546,560,528,550,552,686,2025-04-15 14:03:51.924
529220,498,537,548,563,530,554,553,687,2025-04-15 14:03:51.928
529221,497,547,555,574,537,565,557,688,2025-04-15 14:03:51.932
529222,495,550,557,576,537,567,557,689,2025-04-15 14:03:51.936
529223,498,542,553,569,534,560,555,690,2025-04-15 14:03:51.940
529224,497,528,544,559,528,550,551,691,2025-04-15 14:03:51.944
529225,497,539,548,566,529,556,552,692,2025-04-15 14:03:51.948
529226,500,547,557,576,537,564,557,693,2025-04-15 14:03:51.952
529227,495,547,556,574,538,565,558,694,2025-04-15 14:03:51.956
529228,500,542,555,569,536,554,560,695,2025-04-15 14:03:51.960
529229,495,537,545,564,527,555,548,696,2025-04-15 14:03:51.964
529230,501,541,550,570,532,561,551,697,2025-04-15 14:03:51.969
529231,498,549,558,577,538,567,560,698,2025-04-15 14:03:51.973
529232,499,548,556,577,539,568,559,699,2025-04-15 14:03:51.977
529233,499,544,551,572,533,563,553,700,2025-04-15 14:03:51.981
529234,496,536,553,565,528,555,548,701,2025-04-15 14:03:51.985
529235,503,540,553,567,535,559,557,702,2025-04-15 14:03:51.989
529236,502,548,560,576,541,566,564,703,2025-04-15 14:03:51.993
529237,498,547,557,574,540,564,560,704,2025-04-15 14:03:51.997
529238,501,542,557,571,538,561,560,705,2025-04-15 14:03:52.001
529239,498,538,547,566,529,556,549,706,2025-04-15 14:03:52.005
529240,510,540,552,567,534,559,558,707,2025-04-15 14:03:52.009
529241,501,546,560,574,542,564,564,708,2025-04-15 14:03:52.013
529242,491,551,560,577,541,567,563,709,2025-04-15 14:03:52.017
529243,502,543,558,571,538,561,564,710,2025-04-15 14:03:52.021
529244,496,539,547,566,529,565,548,711,2025-04-15 14:03:52.025
529245,501,546,552,573,535,563,554,712,2025-04-15 14:03:52.029
529246,502,552,561,579,540,569,560,713,2025-04-15 14:03:52.033
529247,503,547,559,576,542,565,565,714,2025-04-15 14:03:52.037
529248,502,545,554,571,537,562,558,715,2025-04-15 14:03:52.041
529249,502,537,550,565,533,556,554,716,2025-04-15 14:03:52.045
529250,509,543,552,573,535,563,553,717,2025-04-15 14:03:52.049
529251,503,549,560,576,541,567,562,718,2025-04-15 14:03:52.053
529252,503,548,559,576,542,567,564,719,2025-04-15 14:03:52.057
529253,502,543,554,570,536,562,556,720,2025-04-15 14:03:52.061
529254,501,536,550,564,533,557,555,721,2025-04-15 14:03:52.065
529255,503,543,557,571,538,562,561,722,2025-04-15 14:03:52.069
529256,502,553,560,579,541,571,562,723,2025-04-15 14:03:52.073
529257,500,550,559,579,540,569,560,724,2025-04-15 14:03:52.077
529258,505,543,556,576,536,560,558,725,2025-04-15 14:03:52.081
529259,500,538,551,565,533,558,555,726,2025-04-15 14:03:52.085
529260,504,544,558,572,538,561,561,727,2025-04-15 14:03:52.089
529261,504,550,563,577,543,568,566,728,2025-04-15 14:03:52.093
529262,499,548,556,576,537,566,558,729,2025-04-15 14:03:52.097
529263,500,543,554,571,536,561,558,730,2025-04-15 14:03:52.101
529264,499,535,548,564,528,556,550,731,2025-04-15 14:03:52.105
529265,502,542,556,570,537,561,560,732,2025-04-15 14:03:52.109
529266,499,550,558,578,542,567,560,733,2025-04-15 14:03:52.113
529267,500,547,559,577,540,567,560,734,2025-04-15 14:03:52.117
529268,499,543,550,571,532,561,552,735,2025-04-15 14:03:52.121
529269,500,538,548,566,531,557,551,736,2025-04-15 14:03:52.125
529270,499,545,551,572,540,562,553,737,2025-04-15 14:03:52.129
529271,501,548,561,576,541,567,565,738,2025-04-15 14:03:52.133
529272,499,544,555,573,538,565,560,739,2025-04-15 14:03:52.137
529273,506,537,549,567,532,557,555,740,2025-04-15 14:03:52.141
529274,497,538,545,567,528,556,548,741,2025-04-15 14:03:52.146
529275,504,544,554,570,537,561,560,742,2025-04-15 14:03:52.150
529276,498,549,558,578,538,567,560,743,2025-04-15 14:03:52.154
529277,497,549,556,576,536,568,556,744,2025-04-15 14:03:52.158
529278,496,540,548,566,530,557,550,745,2025-04-15 14:03:52.162
